store,category,day_of_week,month,revenue
S01,Baby Care,Friday,2024-01,89952.17999999998
S01,Baby Care,Monday,2024-01,130620.62999999999
S01,Baby Care,Saturday,2024-01,100609.76999999999
S01,Baby Care,Sunday,2024-01,120780.54000000002
S01,Baby Care,Thursday,2024-01,88083.54
S01,Baby Care,Tuesday,2024-01,109777.48999999998
S01,Baby Care,Wednesday,2024-01,94671.39999999998
S01,Bakery,Friday,2024-01,14729.4
S01,Bakery,Monday,2024-01,11438.56
S01,Bakery,Saturday,2024-01,16404.260000000002
S01,Bakery,Sunday,2024-01,19594.890000000007
S01,Bakery,Thursday,2024-01,11898.519999999999
S01,Bakery,Tuesday,2024-01,13423.969999999998
S01,Bakery,Wednesday,2024-01,17492.090000000004
S01,Beverages,Friday,2024-01,31436.890000000007
S01,Beverages,Monday,2024-01,25576.780000000002
S01,Beverages,Saturday,2024-01,41614.39
S01,Beverages,Sunday,2024-01,30299.289999999997
S01,Beverages,Thursday,2024-01,23242.980000000007
S01,Beverages,Tuesday,2024-01,22691.68
S01,Beverages,Wednesday,2024-01,26271.94
S01,Biscuits & Snacks,Friday,2024-01,6339.15
S01,Biscuits & Snacks,Monday,2024-01,6120.540000000002
S01,Biscuits & Snacks,Saturday,2024-01,11009.050000000003
S01,Biscuits & Snacks,Sunday,2024-01,8320.529999999997
S01,Biscuits & Snacks,Thursday,2024-01,8126.969999999996
S01,Biscuits & Snacks,Tuesday,2024-01,7108.97
S01,Biscuits & Snacks,Wednesday,2024-01,9619.460000000001
S01,Confectionery,Friday,2024-01,19960.66
S01,Confectionery,Monday,2024-01,11640.539999999997
S01,Confectionery,Saturday,2024-01,20066.440000000002
S01,Confectionery,Sunday,2024-01,20993.089999999993
S01,Confectionery,Thursday,2024-01,18791.929999999993
S01,Confectionery,Tuesday,2024-01,16703.780000000002
S01,Confectionery,Wednesday,2024-01,18738.5
S01,Dairy,Friday,2024-01,35337.64
S01,Dairy,Monday,2024-01,53370.83999999999
S01,Dairy,Saturday,2024-01,49760.64
S01,Dairy,Sunday,2024-01,53806.499999999985
S01,Dairy,Thursday,2024-01,38773.98999999999
S01,Dairy,Tuesday,2024-01,60250.189999999995
S01,Dairy,Wednesday,2024-01,52281.89
S01,Edible Oils,Friday,2024-01,93756.85
S01,Edible Oils,Monday,2024-01,94649.73000000001
S01,Edible Oils,Saturday,2024-01,105914.72999999998
S01,Edible Oils,Sunday,2024-01,126708.99999999993
S01,Edible Oils,Thursday,2024-01,73223.8
S01,Edible Oils,Tuesday,2024-01,98611.25999999997
S01,Edible Oils,Wednesday,2024-01,87397.10999999999
S01,Frozen & Ready to Eat,Friday,2024-01,33062.43000000001
S01,Frozen & Ready to Eat,Monday,2024-01,37174.79
S01,Frozen & Ready to Eat,Saturday,2024-01,41343.8
S01,Frozen & Ready to Eat,Sunday,2024-01,54983.599999999955
S01,Frozen & Ready to Eat,Thursday,2024-01,28184.7
S01,Frozen & Ready to Eat,Tuesday,2024-01,32613.320000000003
S01,Frozen & Ready to Eat,Wednesday,2024-01,31862.40000000001
S01,Fruits & Vegetables,Friday,2024-01,11437.440000000004
S01,Fruits & Vegetables,Monday,2024-01,13327.170000000002
S01,Fruits & Vegetables,Saturday,2024-01,19620.919999999995
S01,Fruits & Vegetables,Sunday,2024-01,23572.23
S01,Fruits & Vegetables,Thursday,2024-01,11853.250000000004
S01,Fruits & Vegetables,Tuesday,2024-01,17068.46
S01,Fruits & Vegetables,Wednesday,2024-01,13589.980000000001
S01,Home Care,Friday,2024-01,29480.710000000003
S01,Home Care,Monday,2024-01,36501.169999999984
S01,Home Care,Saturday,2024-01,44168.57000000001
S01,Home Care,Sunday,2024-01,45351.46
S01,Home Care,Thursday,2024-01,26605.969999999994
S01,Home Care,Tuesday,2024-01,23731.039999999997
S01,Home Care,Wednesday,2024-01,30188.349999999995
S01,Personal Care,Friday,2024-01,46437.19999999998
S01,Personal Care,Monday,2024-01,34230.729999999996
S01,Personal Care,Saturday,2024-01,50807.63
S01,Personal Care,Sunday,2024-01,47885.98999999999
S01,Personal Care,Thursday,2024-01,40329.520000000004
S01,Personal Care,Tuesday,2024-01,33875.79000000001
S01,Personal Care,Wednesday,2024-01,46117.179999999986
S01,Spices & Masala,Friday,2024-01,20340.66
S01,Spices & Masala,Monday,2024-01,27830.10000000001
S01,Spices & Masala,Saturday,2024-01,27901.36000000001
S01,Spices & Masala,Sunday,2024-01,15324.400000000001
S01,Spices & Masala,Thursday,2024-01,18242.97
S01,Spices & Masala,Tuesday,2024-01,22137.370000000003
S01,Spices & Masala,Wednesday,2024-01,15153.58
