product_sk,product_code,product_name,category_name,mrp,selling_price,effective_from,effective_to
1482,P103372,Anmol Cream Biscuit 100g,Biscuits & Snacks,49.22,43.95,2022-01-01,2024-07-14
2079,P107549,Anmol Cream Biscuit 150g,Biscuits & Snacks,53.61,47.87,2023-10-23,9999-12-31
1660,P104617,Anmol Cream Biscuit 250g,Biscuits & Snacks,113.85,101.65,2023-09-22,2024-04-10
2180,P108258,Anmol Cream Biscuit 250g,Biscuits & Snacks,61.17,54.62,2024-02-15,9999-12-31
1724,P105062,Anmol Cream Biscuit 400g,Biscuits & Snacks,16.08,14.36,2024-02-09,2024-04-08
1338,P102364,Anmol Cream Biscuit 60g,Biscuits & Snacks,117.12,104.57,2023-12-07,9999-12-31
1282,P101968,Anmol Glucose Biscuit 100g,Biscuits & Snacks,11.14,9.95,2022-01-01,2024-07-15
1790,P105524,Anmol Glucose Biscuit 250g,Biscuits & Snacks,87.25,77.9,2024-02-16,2024-09-30
1409,P102857,Bikano Glucose Biscuit 250g,Biscuits & Snacks,128.74,114.95,2022-01-01,2024-04-04
1716,P105009,Bikano Glucose Biscuit 250g,Biscuits & Snacks,73.23,65.38,2024-02-11,9999-12-31
1008,P100049,Britannia Cream Biscuit 60g,Biscuits & Snacks,74.98,66.95,2022-01-01,2024-06-19
1848,P105929,Britannia Glucose Biscuit 100g,Biscuits & Snacks,12.52,11.18,2024-01-23,9999-12-31
2088,P107609,Britannia Glucose Biscuit 100g,Biscuits & Snacks,121.48,108.46,2024-02-25,9999-12-31
1231,P101613,Britannia Glucose Biscuit 250g,Biscuits & Snacks,123.01,109.83,2023-09-16,2024-04-09
1726,P105075,Britannia Glucose Biscuit 400g,Biscuits & Snacks,51.91,46.35,2024-01-12,2024-05-07
1566,P103958,Britannia Glucose Biscuit 60g,Biscuits & Snacks,34.66,30.95,2022-01-01,2024-09-26
2150,P108046,Parle Cream Biscuit 150g,Biscuits & Snacks,106.79,95.35,2023-10-09,2024-11-07
1350,P102445,Parle Cream Biscuit 250g,Biscuits & Snacks,32.42,28.95,2022-01-01,2024-05-19
2127,P107884,Parle Cream Biscuit 60g,Biscuits & Snacks,33.08,29.54,2023-11-06,2024-06-01
1204,P101421,Parle Glucose Biscuit 150g,Biscuits & Snacks,117.67,105.06,2024-02-12,2024-03-18
1204,P101421,Parle Glucose Biscuit 150g,Biscuits & Snacks,125.46,112.02,2024-03-19,2024-10-16
1874,P106115,Sunfeast Cream Biscuit 150g,Biscuits & Snacks,143.76,128.36,2023-12-27,9999-12-31
1982,P106872,Sunfeast Cream Biscuit 150g,Biscuits & Snacks,82.11,73.31,2023-10-01,2024-08-05
1440,P103074,Sunfeast Glucose Biscuit 150g,Biscuits & Snacks,59.19,52.85,2023-10-30,9999-12-31
1267,P101864,Sunfeast Glucose Biscuit 250g,Biscuits & Snacks,114.18,101.95,2022-01-01,2024-08-07
1636,P104446,Unibic Cream Biscuit 150g,Biscuits & Snacks,59.3,52.95,2022-01-01,2024-05-24
1536,P103749,Unibic Cream Biscuit 60g,Biscuits & Snacks,15.49,13.83,2023-06-23,2024-04-13
1889,P106221,Unibic Glucose Biscuit 150g,Biscuits & Snacks,35.45,31.65,2023-05-02,9999-12-31
1948,P106629,Unibic Glucose Biscuit 400g,Biscuits & Snacks,58.33,52.08,2024-02-06,2024-11-01
